country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,2193,1841,1739,1208,877,1244,1130,1039,967,894,817,738,1159,1176,1126,1198,1244,1361,1358,1498,1675,1625,1776,1814,1796,1783,1766,1767,1746
Albania,4415,3138,2857,3261,3600,4168,4594,4112,4530,5141,5562,6093,6358,6760,7147,7557,8125,8671,9199,9376,9828,10210,10293,10669,10797,11098,11534,11831,12300
Algeria,9989,9457,9462,9171,8847,8904,9069,9099,9502,9596,9700,10130,10447,11068,11305,11595,11734,12419,12640,12602,12946,12908,12910,12946,13169,13330,13832,13656,13639
Andorra,49062,48391,47002,44928,44747,45136,46861,51136,52922,54896,44215,44886,45943,49328,50968,52917,53867,52786,47574,45492,43061,41402,41386,42376,44197,45260,46553,47550,48641
Angola,4139,4528,1737,1704,1304,2858,2826,3335,3269,2952,3092,3268,3904,3924,4130,4516,4751,5327,5437,5863,5818,5796,6128,6294,6484,6440,6051,5950,5555
Antigua and Barbuda,15749,16439,16475,17300,18021,16842,17665,18401,18943,19230,19676,18853,18396,19378,20145,21315,23686,25479,24945,21655,20096,19264,19529,19276,19780,20279,20909,21349,22201
Argentina,10932,11902,12816,13774,14371,13742,14297,15263,15619,14903,14617,13791,11841,12910,12911,13886,16185,17586,18137,16791,18279,19251,18940,19228,18562,18901,18249,18462,17611
Armenia,3600,3327,1649,1691,1988,2167,2403,2595,2725,2827,3006,3325,3814,4358,4822,5600,6426,7425,8045,6811,7061,7269,7793,8169,8301,8482,8310,9064,9277
Australia,27679,27203,27159,28112,28942,29524,30234,31130,32284,33555,34533,34748,35729,36308,37314,37669,38060,39025,39780,39939,39982,40281,41566,42201,42594,43246,43653,43756,44097
Austria,31587,32192,32442,32368,32951,33659,34520,35057,36218,37059,38502,38644,39405,39716,40597,41196,42600,43896,44815,42640,43700,44603,44597,44420,44306,43822,44621,45375,46231
Azerbaijan,8710,8514,6489,4975,3940,3430,3415,3606,3928,4162,4426,4816,5209,5689,6028,7184,9329,11155,12858,14628,15425,14676,15056,15846,16444,16259,15146,15312,15240
"Bahamas, The",29469,27683,26858,26089,26432,31405,34558,28504,29326,31477,32303,32448,32837,31999,31779,32139,32259,32076,31323,29258,29085,28953,29753,29372,28661,28763,27791,28067,28395
Bahrain,29850,40166,40370,42512,41106,43105,43978,42635,43808,43385,44495,43081,41877,42112,42161,42760,42375,42696,41154,37214,37246,35445,36153,37643,36619,42125,41499,41645,40399
Bangladesh,1358,1374,1420,1458,1490,1531,1559,1598,1646,1691,1750,1801,1852,1907,1982,2082,2218,2362,2501,2603,2723,2861,3025,3158,3270,3439,3620,3792,4057
Barbados,13806,13255,12347,12389,12786,12930,13344,13992,14457,14372,14922,14445,14476,14688,14962,15311,15834,16405,16160,15601,15874,15281,15733,15617,15580,15635,15881,16033,15912
