country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,0.466,0.44,0.431,0.376,0.328,0.381,0.366,0.354,0.343,0.331,0.317,0.302,0.37,0.372,0.366,0.375,0.381,0.394,0.394,0.409,0.426,0.421,0.435,0.438,0.436,0.435,0.434,0.434,0.432
Albania,0.572,0.521,0.506,0.526,0.541,0.563,0.578,0.561,0.576,0.595,0.607,0.621,0.627,0.637,0.645,0.653,0.664,0.674,0.683,0.686,0.693,0.699,0.7,0.705,0.707,0.711,0.717,0.721,0.727
Algeria,0.695,0.687,0.687,0.683,0.677,0.678,0.681,0.681,0.688,0.689,0.691,0.698,0.702,0.711,0.714,0.718,0.72,0.728,0.731,0.731,0.735,0.734,0.734,0.735,0.737,0.739,0.745,0.743,0.743
Andorra,0.936,0.934,0.929,0.923,0.922,0.923,0.929,0.942,0.947,0.953,0.92,0.922,0.926,0.937,0.942,0.947,0.95,0.947,0.931,0.924,0.916,0.91,0.91,0.914,0.92,0.924,0.928,0.931,0.935
Angola,0.562,0.576,0.431,0.428,0.388,0.506,0.505,0.53,0.527,0.511,0.518,0.527,0.554,0.554,0.562,0.576,0.583,0.601,0.604,0.615,0.614,0.613,0.622,0.626,0.63,0.629,0.62,0.617,0.607
Antigua and Barbuda,0.764,0.771,0.771,0.778,0.785,0.774,0.782,0.788,0.792,0.794,0.798,0.791,0.788,0.796,0.801,0.81,0.826,0.837,0.834,0.812,0.801,0.795,0.797,0.795,0.799,0.802,0.807,0.81,0.816
Argentina,0.709,0.722,0.733,0.744,0.75,0.744,0.75,0.76,0.763,0.756,0.753,0.744,0.721,0.734,0.734,0.745,0.768,0.781,0.786,0.774,0.787,0.795,0.792,0.794,0.789,0.792,0.787,0.788,0.781
Armenia,0.541,0.529,0.423,0.427,0.452,0.465,0.48,0.492,0.499,0.505,0.514,0.529,0.55,0.57,0.585,0.608,0.629,0.651,0.663,0.638,0.643,0.647,0.658,0.665,0.668,0.671,0.668,0.681,0.684
Australia,0.849,0.847,0.847,0.852,0.856,0.859,0.863,0.867,0.873,0.879,0.883,0.884,0.888,0.89,0.895,0.896,0.898,0.901,0.904,0.905,0.905,0.906,0.911,0.913,0.915,0.917,0.918,0.919,0.92
Austria,0.869,0.872,0.873,0.873,0.876,0.879,0.883,0.885,0.89,0.894,0.899,0.9,0.903,0.904,0.907,0.91,0.915,0.919,0.922,0.915,0.918,0.922,0.921,0.921,0.92,0.919,0.922,0.924,0.927
Azerbaijan,0.675,0.671,0.63,0.59,0.555,0.534,0.533,0.542,0.554,0.563,0.573,0.585,0.597,0.61,0.619,0.646,0.685,0.712,0.734,0.753,0.761,0.754,0.757,0.765,0.771,0.769,0.758,0.76,0.759
"Bahamas, The",0.859,0.849,0.845,0.84,0.842,0.869,0.883,0.854,0.858,0.869,0.873,0.873,0.875,0.871,0.87,0.872,0.873,0.872,0.868,0.858,0.857,0.856,0.86,0.858,0.855,0.855,0.85,0.852,0.853
Bahrain,0.861,0.906,0.906,0.914,0.909,0.916,0.919,0.915,0.919,0.917,0.921,0.916,0.912,0.913,0.913,0.915,0.914,0.915,0.909,0.894,0.894,0.887,0.89,0.896,0.892,0.913,0.911,0.911,0.907
Bangladesh,0.394,0.396,0.401,0.405,0.408,0.412,0.415,0.419,0.423,0.427,0.432,0.437,0.441,0.445,0.451,0.459,0.468,0.478,0.486,0.492,0.499,0.507,0.515,0.522,0.527,0.534,0.542,0.549,0.559
Barbados,0.744,0.738,0.727,0.728,0.733,0.734,0.739,0.746,0.751,0.75,0.756,0.751,0.752,0.754,0.757,0.76,0.765,0.77,0.768,0.763,0.765,0.76,0.764,0.763,0.763,0.763,0.766,0.767,0.766
Belarus,0.669,0.667,0.651,0.639,0.62,0.604,0.609,0.625,0.638,0.644,0.653,0.661,0.669,0.681,0.699,0.713,0.728,0.74,0.755,0.755,0.766,0.774,0.776,0.776,0.779,0.771,0.767,0.772,0.776
Belgium,0.865,0.868,0.87,0.869,0.875,0.878,0.88,0.885,0.888,0.893,0.898,0.898,0.899,0.9,0.904,0.906,0.909,0.913,0.915,0.907,0.914,0.911,0.913,0.911,0.911,0.911,0.913,0.917,0.919
Belize,0.59,0.604,0.617,0.623,0.619,0.617,0.613,0.614,0.612,0.618,0.63,0.631,0.635,0.642,0.642,0.643,0.646,0.64,0.642,0.647,0.644,0.648,0.648,0.646,0.647,0.653,0.648,0.643,0.645
Benin,0.402,0.404,0.4,0.406,0.403,0.407,0.409,0.414,0.417,0.42,0.424,0.427,0.429,0.43,0.432,0.431,0.432,0.436,0.44,0.439,0.437,0.438,0.44,0.446,0.452,0.45,0.453,0.457,0.462
Bhutan,0.467,0.462,0.464,0.469,0.482,0.483,0.491,0.501,0.495,0.499,0.534,0.543,0.553,0.56,0.566,0.575,0.585,0.607,0.61,0.616,0.629,0.638,0.641,0.644,0.65,0.658,0.666,0.671,0.673
Bolivia,0.538,0.544,0.545,0.548,0.553,0.556,0.56,0.565,0.57,0.567,0.567,0.567,0.568,0.567,0.57,0.574,0.579,0.583,0.59,0.592,0.594,0.599,0.601,0.609,0.617,0.625,0.631,0.634,0.638
Bosnia and Herzegovina,0.392,0.381,0.375,0.377,0.385,0.418,0.525,0.574,0.633,0.641,0.642,0.647,0.652,0.656,0.663,0.674,0.681,0.689,0.699,0.695,0.694,0.696,0.698,0.704,0.708,0.715,0.721,0.726,0.732
Botswana,0.667,0.68,0.681,0.686,0.671,0.684,0.682,0.694,0.699,0.699,0.696,0.7,0.69,0.7,0.7,0.706,0.716,0.727,0.733,0.725,0.731,0.747,0.753,0.76,0.765,0.761,0.76,0.763,0.766
Brazil,0.697,0.697,0.694,0.698,0.701,0.709,0.708,0.71,0.706,0.703,0.711,0.711,0.713,0.713,0.72,0.723,0.728,0.736,0.741,0.74,0.749,0.754,0.756,0.76,0.759,0.752,0.745,0.746,0.747
Brunei Darussalam,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bulgaria,0.671,0.657,0.661,0.66,0.663,0.667,0.668,0.667,0.679,0.667,0.674,0.686,0.701,0.709,0.719,0.729,0.736,0.74,0.755,0.754,0.757,0.759,0.763,0.763,0.768,0.773,0.782,0.792,0.798
Burkina Faso,0.322,0.331,0.328,0.328,0.326,0.331,0.343,0.348,0.354,0.361,0.358,0.363,0.366,0.373,0.375,0.384,0.389,0.392,0.398,0.398,0.397,0.401,0.408,0.413,0.413,0.414,0.417,0.423,0.428
